direct_pair_multiplier,err_direct,err_parrot,err_rollout,horizon,kaplan_yorke_dim,lyap_max,lyap_time,n_pairs_direct,n_pairs_rollout,params_direct,params_rollout,seed,system
4,0.039198607206344604,0.014285838456423573,0.00045291779679246247,1,2.075158758095728,0.8917098035724058,0.013382780732014665,64000,16000,19859,19868,2,Lorenz
4,0.03701529651880264,0.014525403188561974,0.0008702740888111293,2,2.075158758095728,0.8917098035724058,0.02676556146402933,64000,16000,19859,19868,2,Lorenz
4,0.047550395131111145,0.015382314760138434,0.0017051702598109841,4,2.075158758095728,0.8917098035724058,0.05353112292805866,64000,16000,19859,19868,2,Lorenz
4,0.0640389546751976,0.018240658268500253,0.0034889488015323877,8,2.075158758095728,0.8917098035724058,0.10706224585611732,64000,16000,19859,19868,2,Lorenz
4,0.0929073616862297,0.03055826989081893,0.006248259451240301,16,2.075158758095728,0.8917098035724058,0.21412449171223463,64000,16000,19859,19868,2,Lorenz
4,0.15530967712402344,0.11068872611895827,0.020588789135217667,32,2.075158758095728,0.8917098035724058,0.42824898342446927,64000,16000,19859,19868,2,Lorenz
4,0.45114052295684814,0.17515139675001778,0.07302610576152802,64,2.075158758095728,0.8917098035724058,0.8564979668489385,64000,16000,19859,19868,2,Lorenz
4,0.9005510807037354,0.51469679316377,0.27726075053215027,128,2.075158758095728,0.8917098035724058,1.712995933697877,64000,16000,19859,19868,2,Lorenz
4,0.9902665019035339,1.0039963940783754,0.7301869988441467,256,2.075158758095728,0.8917098035724058,3.425991867395754,64000,16000,19859,19868,2,Lorenz
4,1.0219143629074097,1.2755083722719043,1.3274208307266235,512,2.075158758095728,0.8917098035724058,6.851983734791508,64000,16000,19859,19868,2,Lorenz
1,0.0495690181851387,0.020317635239111887,0.0005007362924516201,1,2.118235268907861,0.6963711539102683,0.010368270110569984,16000,16000,19859,19868,0,Halvorsen
1,0.040639959275722504,0.02065703474962441,0.0009770388714969158,2,2.118235268907861,0.6963711539102683,0.02073654022113997,16000,16000,19859,19868,0,Halvorsen
1,0.04680671915411949,0.02182877509065727,0.0018596407026052475,4,2.118235268907861,0.6963711539102683,0.04147308044227994,16000,16000,19859,19868,0,Halvorsen
1,0.06800246983766556,0.024823905545841178,0.003530557034537196,8,2.118235268907861,0.6963711539102683,0.08294616088455987,16000,16000,19859,19868,0,Halvorsen
1,0.10003529489040375,0.031777709229508594,0.006882376037538052,16,2.118235268907861,0.6963711539102683,0.16589232176911975,16000,16000,19859,19868,0,Halvorsen
1,0.18148015439510345,0.05052937364602541,0.012919771485030651,32,2.118235268907861,0.6963711539102683,0.3317846435382395,16000,16000,19859,19868,0,Halvorsen
1,0.4203643798828125,0.10959615605101128,0.0250640157610178,64,2.118235268907861,0.6963711539102683,0.663569287076479,16000,16000,19859,19868,0,Halvorsen
1,0.7017039060592651,0.2239250648052183,0.08994387835264206,128,2.118235268907861,0.6963711539102683,1.327138574152958,16000,16000,19859,19868,0,Halvorsen
1,1.0047266483306885,0.5517138981147672,0.40853363275527954,256,2.118235268907861,0.6963711539102683,2.654277148305916,16000,16000,19859,19868,0,Halvorsen
1,1.0450758934020996,1.1194541424568323,1.0844616889953613,512,2.118235268907861,0.6963711539102683,5.308554296611832,16000,16000,19859,19868,0,Halvorsen
4,0.04166025295853615,0.020317635239111887,0.0005007362924516201,1,2.118235268907861,0.6963711539102683,0.010368270110569984,64000,16000,19859,19868,0,Halvorsen
4,0.03221936896443367,0.02065703474962441,0.0009770388714969158,2,2.118235268907861,0.6963711539102683,0.02073654022113997,64000,16000,19859,19868,0,Halvorsen
4,0.038233622908592224,0.02182877509065727,0.0018596407026052475,4,2.118235268907861,0.6963711539102683,0.04147308044227994,64000,16000,19859,19868,0,Halvorsen
