budget,corr_dim_pub,density_kl,dim,diverged,epochs,err_h1,err_h10,err_h100,err_h1000,err_h200,err_h50,err_h500,final_train_loss,kaplan_yorke_dim,lyap_max,lyap_time_per_step,n_params,n_train,nrmse_1,pts_per_period,rollout_steps,seed,smape_1,smape_all,spectrum_error,system,vpt_censored,vpt_lyap,vpt_steps,wall_s
46000,1.796820702938341,1.0727162636955792,3,False,200,0.0026568572502583265,0.13277795910835266,4.989262104034424,148.92942810058594,8.371353149414062,2.522688388824463,60.57086944580078,4.012707478977972e-06,2.0146095059018845,0.15059688939547888,0.04449083903410632,46212,8000,0.00268173496134966,20,1000,1,0.004847920665652069,1.5324281017660717,0.7107523450485068,Rossler,False,0.8453259416480201,19.0,24.45
46000,1.796820702938341,2.0283195892226566,3,False,200,0.0018572451081126928,0.19640374183654785,12.616304397583008,253.99600219726562,32.86286544799805,4.218569278717041,109.68148803710938,3.4148803315474654e-06,2.0146095059018845,0.15059688939547888,0.04449083903410632,46212,8000,0.0018672712704775895,20,1000,2,0.004360134332853533,1.7633639428184502,2.4581813865778352,Rossler,False,0.4449083903410632,10.0,24.31
100000,1.796820702938341,1.6871970989613867,3,False,200,0.002197420224547386,0.08119519799947739,11.277910232543945,264.59906005859375,31.785770416259766,2.3846547603607178,109.34923553466797,2.0837257470702753e-06,2.0146095059018845,0.15059688939547888,0.04449083903410632,99843,8000,0.002217958534216714,20,1000,0,0.0033933500417681907,1.5175052464892478,2.4938863245476215,Rossler,False,1.3347251710231895,30.0,34.89
100000,1.796820702938341,0.032031719608557614,3,False,200,0.0018025347962975502,0.04980313405394554,1.2356001138687134,1.2060788869857788,1.5112823247909546,0.3392941653728485,1.4673422574996948,2.1886914892093046e-06,2.0146095059018845,0.15059688939547888,0.04449083903410632,99843,8000,0.0018147264528468555,20,1000,1,0.0036126744280218248,1.104968667759172,0.7232867341786955,Rossler,False,1.5571793661937212,35.0,36.03
100000,1.796820702938341,0.060057009876755274,3,False,200,0.0019394607516005635,0.059871792793273926,0.8617109656333923,0.8418305516242981,0.878795862197876,0.2786184251308441,0.6541309356689453,2.1080909255033474e-06,2.0146095059018845,0.15059688939547888,0.04449083903410632,99843,8000,0.0019598148144758664,20,1000,2,0.003004365970894218,0.6462305459201536,0.6090628897800746,Rossler,False,2.4914869859099538,56.0,36.02
1000,1.796820702938341,0.23944592639593734,3,False,200,0.0013458933681249619,0.1556992083787918,0.4809304475784302,1.0855754613876343,0.7186035513877869,0.5295571684837341,0.8096935153007507,2.5243618174499716e-06,2.0146095059018845,0.15059688939547888,0.04449083903410632,1011,32000,0.0015427844531147705,20,1000,0,0.004196115872168744,0.6437092840702555,0.5134641515189423,Rossler,False,2.0020877565347845,45.00000000000001,44.52
1000,1.796820702938341,0.008640040040116861,3,False,200,0.001451402436941862,0.10517731308937073,0.43943721055984497,1.3779499530792236,0.7941756248474121,0.3233781158924103,1.043932557106018,2.954034549475182e-06,2.0146095059018845,0.15059688939547888,0.04449083903410632,1011,32000,0.0016621351683494597,20,1000,1,0.003949753851673627,0.7060819794199026,0.4652003438509636,Rossler,False,2.0020877565347845,45.00000000000001,42.89
1000,1.796820702938341,0.09748718720995127,3,False,200,0.0009324191487394273,0.089292511343956,0.45793381333351135,1.6973707675933838,0.6979897022247314,0.24532201886177063,1.3002934455871582,2.0481457340792984e-06,2.0146095059018845,0.15059688939547888,0.04449083903410632,1011,32000,0.0010694861255259563,20,1000,2,0.0027455036457067193,0.8076478890446098,0.4626228599527919,Rossler,False,2.091069434602997,47.00000000000001,40.78
2200,1.796820702938341,0.3572667520886825,3,False,200,0.001101656467653811,0.1492748260498047,0.47876662015914917,1.4661502838134766,0.7172020077705383,0.5372406244277954,0.9877021908760071,1.7060891541404998e-06,2.0146095059018845,0.15059688939547888,0.04449083903410632,2196,32000,0.001261066047821255,20,1000,0,0.0033216977885763004,0.7955526497882077,0.6082177081849552,Rossler,False,1.6461610442619339,37.0,43.84
2200,1.796820702938341,2.747097022499869,3,False,200,0.001188181689940393,0.9222317934036255,19.48068618774414,211.33709716796875,41.06550979614258,8.135819435119629,104.54107666015625,1.965578651834221e-06,2.0146095059018845,0.15059688939547888,0.04449083903410632,2196,32000,0.0013600967473355269,20,1000,1,0.0033300960117649326,1.866472793308793,2.035629179186727,Rossler,False,0.2669450342046379,5.999999999999999,43.92
2200,1.796820702938341,0.10560626336524694,3,False,200,0.0010941248619928956,0.07587817311286926,0.4981449544429779,1.2428401708602905,0.6225160360336304,0.44521525502204895,0.8691689968109131,1.4203938089849544e-06,2.0146095059018845,0.15059688939547888,0.04449083903410632,2196,32000,0.0012531578514812743,20,1000,2,0.003196307167495069,0.6997495541036508,0.49702620086085797,Rossler,False,2.1800511126712094,48.99999999999999,47.08
4600,1.796820702938341,0.026734498554238064,3,False,200,0.0007039196789264679,0.05317029356956482,0.5594471096992493,1.2423909902572632,0.6236255764961243,0.2535865306854248,0.9691845178604126,9.375544636895938e-07,2.0146095059018845,0.15059688939547888,0.04449083903410632,4611,32000,0.000809293538265701,20,1000,0,0.0019912046819765155,0.645703884318415,0.49429205983995744,Rossler,False,2.402505307841741,54.0,54.41
