budget,family,final_train_loss,knob,lyap,n_params,rel_error,seed,wall_s
25600,StandardMap,4.224484482620028e-07,1.3,4.692233620569392e-05,25586,0.0006400003484687546,2,22.91
25600,StandardMap,4.3244760627203504e-07,1.3,4.692233620569392e-05,25586,0.0006480844010896868,3,23.12
25600,StandardMap,4.4292456618677536e-07,1.3,4.692233620569392e-05,25586,0.0006560080667674415,4,23.04
51200,StandardMap,2.8274709711695325e-07,1.3,4.692233620569392e-05,51062,0.0005240842991560666,0,31.28
51200,StandardMap,2.8009495531478025e-07,1.3,4.692233620569392e-05,51062,0.0005218883862190924,1,30.29
51200,StandardMap,1.9002178339633247e-07,1.3,4.692233620569392e-05,51062,0.00042971169824612004,2,30.69
51200,StandardMap,3.264434462835197e-07,1.3,4.692233620569392e-05,51062,0.0005641348577368443,3,30.6
51200,StandardMap,2.4431803353763825e-07,1.3,4.692233620569392e-05,51062,0.00048738884498140923,4,31.0
200,StandardMap,2.2034962879843078e-05,3.0,2.195060852535782e-05,211,0.002905855383394672,0,12.11
200,StandardMap,1.3463450814015233e-05,3.0,2.195060852535782e-05,211,0.0022715117052662195,1,12.24
200,StandardMap,2.067934187653009e-05,3.0,2.195060852535782e-05,211,0.0028144750504520504,2,12.12
200,StandardMap,2.0260636796592734e-05,3.0,2.195060852535782e-05,211,0.0027862241142710543,3,13.68
200,StandardMap,6.58338060384267e-06,3.0,2.195060852535782e-05,211,0.0015877108001273576,4,13.91
400,StandardMap,1.6789662797236814e-05,3.0,2.195060852535782e-05,386,0.0025358572801081006,0,12.23
400,StandardMap,9.668693521234672e-06,3.0,2.195060852535782e-05,386,0.0019245594625083462,1,12.35
400,StandardMap,1.1625610422925092e-05,3.0,2.195060852535782e-05,386,0.002110256982753272,2,12.91
400,StandardMap,8.07226577308029e-06,3.0,2.195060852535782e-05,386,0.0017585594486681593,3,12.02
400,StandardMap,1.0928514879196883e-05,3.0,2.195060852535782e-05,386,0.002046478410881909,4,12.62
800,StandardMap,2.061644927380257e-06,3.0,2.195060852535782e-05,827,0.0008887505607651944,0,13.02
800,StandardMap,2.6899475215032e-06,3.0,2.195060852535782e-05,827,0.0010150072643596952,1,12.84
800,StandardMap,8.395972829021048e-06,3.0,2.195060852535782e-05,827,0.0017933587802223133,2,12.91
800,StandardMap,4.026910919492366e-06,3.0,2.195060852535782e-05,827,0.0012420750683491341,3,12.83
800,StandardMap,2.89049208004144e-06,3.0,2.195060852535782e-05,827,0.0010524172051889647,4,13.06
1600,StandardMap,2.6351987562520663e-06,3.0,2.195060852535782e-05,1586,0.0010048719747190135,0,13.26
1600,StandardMap,4.148936233832501e-06,3.0,2.195060852535782e-05,1586,0.001260700080972444,1,13.57
1600,StandardMap,2.2156721897772514e-06,3.0,2.195060852535782e-05,1586,0.0009214227772506303,2,13.27
1600,StandardMap,2.908063966970076e-06,3.0,2.195060852535782e-05,1586,0.0010553088017812278,3,14.83
1600,StandardMap,1.8056484150292818e-06,3.0,2.195060852535782e-05,1586,0.0008319566749102342,4,13.83
3200,StandardMap,1.589586908266938e-06,3.0,2.195060852535782e-05,3235,0.0007804393546841328,0,14.11
3200,StandardMap,1.2343285925453528e-06,3.0,2.195060852535782e-05,3235,0.0006877600229234585,1,14.24
3200,StandardMap,9.8590727429837e-07,3.0,2.195060852535782e-05,3235,0.000614322304833931,2,14.3
3200,StandardMap,6.87170493620215e-07,3.0,2.195060852535782e-05,3235,0.0005131090372875842,3,14.9
3200,StandardMap,1.2033104112560978e-06,3.0,2.195060852535782e-05,3235,0.00067880799328797,4,14.18
6400,StandardMap,4.6283359847620886e-07,3.0,2.195060852535782e-05,6386,0.00042097932075497535,0,16.04
6400,StandardMap,5.220700240897714e-07,3.0,2.195060852535782e-05,6386,0.0004473473752649999,1,16.34
6400,StandardMap,1.2194187547720504e-06,3.0,2.195060852535782e-05,6386,0.000683397260624026,2,15.72
6400,StandardMap,7.400090207738686e-07,3.0,2.195060852535782e-05,6386,0.0005322186611481755,3,17.66
6400,StandardMap,6.74631757192401e-07,3.0,2.195060852535782e-05,6386,0.0005085353002841379,4,15.88
