system,dim,nn_dist,attractor_spread,coverage,lyap_max,model_vpt,parrot_vpt,censored,ratio,log_ratio
LuChenCheng,3,0.022937072956195705,2.0538507969301345,0.01116783799021792,0.2612775880231121,200.0,200.0,1.0,1.0,0.0
LuChen,3,0.011846857853865652,2.180146842757903,0.005433972437782807,0.3266868574498627,181.0,200.0,0.3333333333333333,0.905,-0.0998203352822109
MooreSpiegel,3,0.023277384563458403,2.2328219072000413,0.010425096819588376,0.6976623003008144,86.0,54.0,0.0,1.5925925925925926,0.4653632496892333
MultiChua,3,0.02519171454903559,2.229415922701684,0.011299692575312457,1.462134784614238,73.0,200.0,0.0,0.365,-1.0078579253996456
NewtonLiepnik,3,0.036604567544532465,2.1280530996523783,0.017200965309799785,0.1494534178463997,53.0,37.0,0.0,1.4324324324324325,0.3593740009078974
NoseHoover,3,0.019704045516489514,2.1970794626281047,0.008968289882842885,0.0104643837794009,200.0,200.0,1.0,1.0,0.0
NuclearQuadrupole,4,0.14532280162547928,2.69934871787043,0.05383624600386101,0.2955419776766378,136.0,50.0,0.0,2.72,1.000631880307906
PehlivanWei,3,0.014125537999688785,2.1808328836439776,0.006477129956003904,0.1041507608587888,200.0,200.0,1.0,1.0,0.0
QiChen,3,0.028726309363284325,2.136561933159777,0.013445109602229399,4.027570312302744,57.0,45.0,0.0,1.2666666666666666,0.23638877806423034
Qi,4,0.03460357883913624,2.4653234670517765,0.0140361211425606,2.191606047298956,81.0,158.0,0.0,0.5126582278481012,-0.6681458783545281
RabinovichFabrikant,3,0.027784371036340356,2.1542118475671477,0.012897696699476678,0.2541443669572464,200.0,200.0,1.0,1.0,0.0
RayleighBenard,3,0.026920567287592168,2.2295712290610714,0.012074324846275082,1.8138795790741329,92.0,90.0,0.0,1.0222222222222221,0.021978906718775167
RikitakeDynamo,3,0.022295007275987693,2.024913006967013,0.01101035313580308,0.1318127385277225,56.0,58.0,0.0,0.9655172413793104,-0.03509131981127006
Rossler,3,0.011515039712993662,2.0405919174392904,0.005642989965109595,0.1505968893954788,200.0,200.0,1.0,1.0,0.0
